result,TeamID,TeamID:1,losses,Points,,Goals:1,losses:1,Points:1
2,8472,8650,24,22,,28,26,25
2,10194,8456,14,28,,34,16,39
0,8668,10261,23,33,,23,30,20
1,9825,8466,19,33,,25,36,17
1,10252,10003,36,18,,27,23,25
2,9798,8586,37,10,,34,25,33
0,9879,8659,34,21,,28,23,33
2,9850,8654,28,25,,23,27,23
0,10260,8528,28,46,,19,35,15
0,8456,9825,16,39,,37,19,33
0,8466,10252,36,17,,15,36,18
1,10003,8668,23,25,,32,23,33
1,8528,9879,35,15,,29,34,21
2,8650,10260,26,25,,48,28,46
1,10261,9850,30,20,,20,28,25
1,8586,10172,25,33,,16,33,10
2,8659,9798,23,33,,21,37,10
0,8455,10194,19,36,,18,14,28
2,8654,8472,27,23,,20,24,22
2,9825,8455,19,33,,39,19,36
2,9850,8650,28,25,,28,26,25
2,9879,8456,34,21,,34,16,39
0,9798,10261,37,10,,23,30,20
1,8668,8466,23,33,,25,36,17
2,10194,10003,14,28,,27,23,25
1,10260,8586,28,46,,34,25,33
1,10252,8659,36,18,,28,23,33
1,10172,8654,33,10,,23,27,23
0,8472,8528,24,22,,19,35,15
1,8650,9825,26,25,,37,19,33
0,10261,10252,30,20,,15,36,18
2,8466,10260,36,17,,48,28,46
1,8586,9850,25,33,,20,28,25
1,8456,10172,16,39,,16,33,10
1,8455,9798,19,36,,21,37,10
1,8528,10194,35,15,,18,14,28
1,10003,8472,23,25,,20,24,22
2,8659,8668,23,33,,32,23,33
2,8654,9879,27,23,,29,34,21
2,10194,9825,14,28,,37,19,33
1,10252,8668,36,18,,32,23,33
0,10260,9879,28,46,,29,34,21
1,8650,8456,26,25,,34,16,39
2,8455,10261,19,36,,23,30,20
1,9850,10172,28,25,,16,33,10
2,8472,9798,24,22,,21,37,10
0,8586,8659,25,33,,28,23,33
2,10003,8654,23,25,,23,27,23
1,8466,8528,36,17,,19,35,15
2,8654,10252,27,23,,15,36,18
2,8528,8455,35,15,,39,19,36
0,8659,8650,23,33,,28,26,25
2,8668,10260,23,33,,48,28,46
1,9879,9850,34,21,,20,28,25
2,8456,8466,16,39,,25,36,17
2,9798,10194,37,10,,18,14,28
0,9825,8472,19,33,,20,24,22
2,10172,10003,33,10,,27,23,25
2,10261,8586,30,20,,34,25,33
2,10252,9825,36,18,,37,19,33
2,10194,9879,14,28,,29,34,21
2,10003,8650,23,25,,28,26,25
2,8455,8456,19,36,,34,16,39
2,8466,10261,36,17,,23,30,20
2,8668,9850,23,33,,20,28,25
0,10260,10172,28,46,,16,33,10
0,8528,9798,35,15,,21,37,10
2,8472,8659,24,22,,28,23,33
0,8586,8654,25,33,,23,27,23
0,8456,10252,16,39,,15,36,18
2,8659,8455,23,33,,39,19,36
2,9798,8668,37,10,,32,23,33
2,9850,10260,28,25,,48,28,46
0,10172,8466,33,10,,25,36,17
0,8654,10194,27,23,,18,14,28
1,9879,8472,34,21,,20,24,22
2,10261,10003,30,20,,27,23,25
2,9825,8586,19,33,,34,25,33
0,8650,8528,26,25,,19,35,15
1,8668,9825,23,33,,37,19,33
0,8455,9879,19,36,,29,34,21
2,8586,8650,25,33,,28,26,25
2,8528,8456,35,15,,34,16,39
2,10194,10261,14,28,,23,30,20
1,8466,9850,36,17,,20,28,25
2,8472,10172,24,22,,16,33,10
0,10252,9798,36,18,,21,37,10
2,10003,8659,23,25,,28,23,33
1,10260,8654,28,46,,23,27,23
2,10172,10252,33,10,,15,36,18
2,8654,8455,27,23,,39,19,36
2,8456,8668,16,39,,32,23,33
2,9798,10260,37,10,,48,28,46
2,8650,8466,26,25,,25,36,17
1,8659,10194,23,33,,18,14,28
1,9850,8472,28,25,,20,24,22
0,9825,10003,19,33,,27,23,25
0,9879,8586,34,21,,34,25,33
2,10261,8528,30,20,,19,35,15
2,9798,9825,37,10,,37,19,33
0,8650,10252,26,25,,15,36,18
2,10194,8668,14,28,,32,23,33
2,10172,9879,33,10,,29,34,21
2,10261,8456,30,20,,34,16,39
2,8455,8466,19,36,,25,36,17
0,10260,8472,28,46,,20,24,22
0,8586,10003,25,33,,27,23,25
2,8659,8654,23,33,,23,27,23
2,9850,8528,28,25,,19,35,15
2,8472,8455,24,22,,39,19,36
1,8654,8650,27,23,,28,26,25
0,8456,10260,16,39,,48,28,46
2,9879,10261,34,21,,23,30,20
1,10003,9850,23,25,,20,28,25
1,8528,10172,35,15,,16,33,10
0,8466,9798,36,17,,21,37,10
0,10252,10194,36,18,,18,14,28
1,8668,8586,23,33,,34,25,33
0,9825,8659,19,33,,28,23,33
2,9850,9825,28,25,,37,19,33
1,9879,10252,34,21,,15,36,18
1,8586,8455,25,33,,39,19,36
2,10172,8668,33,10,,32,23,33
2,8659,8456,23,33,,34,16,39
0,8472,10261,24,22,,23,30,20
1,8650,9798,26,25,,21,37,10
1,8654,8466,27,23,,25,36,17
0,10260,10194,28,46,,18,14,28
0,10003,8528,23,25,,19,35,15
0,9825,9879,19,33,,29,34,21
1,8455,8650,19,36,,28,26,25
2,10252,10260,36,18,,48,28,46
2,9798,9850,37,10,,20,28,25
0,10194,10172,14,28,,16,33,10
2,8668,8472,23,33,,20,24,22
1,8466,10003,36,17,,27,23,25
2,8456,8586,16,39,,34,25,33
1,10261,8659,30,20,,28,23,33
2,8528,8654,35,15,,23,27,23
1,10260,9825,28,46,,37,19,33
2,8472,10252,24,22,,15,36,18
2,10003,8455,23,25,,39,19,36
2,9879,8668,34,21,,32,23,33
2,8654,8456,27,23,,34,16,39
0,8650,10261,26,25,,23,30,20
1,10172,9798,33,10,,21,37,10
0,8659,8466,23,33,,25,36,17
2,9850,10194,28,25,,18,14,28
1,8586,8528,25,33,,19,35,15
0,9798,9879,37,10,,29,34,21
1,8668,8650,23,33,,28,26,25
0,8455,10260,19,36,,48,28,46
0,10252,9850,36,18,,20,28,25
0,9825,10172,19,33,,16,33,10
1,10194,8472,14,28,,20,24,22
1,8456,10003,16,39,,27,23,25
2,8466,8586,36,17,,34,25,33
0,8528,8659,35,15,,28,23,33
1,10261,8654,30,20,,23,27,23
2,8528,9825,35,15,,37,19,33
0,8455,10252,19,36,,15,36,18
2,8654,8668,27,23,,32,23,33
0,8650,9879,26,25,,29,34,21
2,10003,10260,23,25,,48,28,46
2,8659,9850,23,33,,20,28,25
0,10261,10172,30,20,,16,33,10
0,8456,9798,16,39,,21,37,10
0,8586,10194,25,33,,18,14,28
1,8466,8472,36,17,,20,24,22
2,8668,8455,23,33,,39,19,36
2,10172,8650,33,10,,28,26,25
0,9850,8456,28,25,,34,16,39
0,9825,10261,19,33,,23,30,20
1,10194,8466,14,28,,25,36,17
0,9879,10003,34,21,,27,23,25
2,8472,8586,24,22,,34,25,33
1,10260,8659,28,46,,28,23,33
2,9798,8654,37,10,,23,27,23
1,10252,8528,36,18,,19,35,15
