result,TeamID,TeamID:1,Goals,losses,Points,Goals:1,losses:1,Points:1
1,10261,8655,30,29,25,23,30,22
1,8455,9879,34,16,34,17,24,16
2,10194,8658,23,23,24,18,23,19
2,8668,8559,21,22,22,32,25,29
1,8654,8659,19,32,16,25,32,23
1,10252,8483,22,31,23,31,34,28
1,9825,8586,38,20,38,28,26,30
2,8650,8654,23,24,25,19,32,16
2,8655,10252,23,30,22,22,31,23
2,8472,8668,21,20,27,21,22,22
1,8559,10261,32,25,29,30,29,25
1,9879,8456,17,24,16,28,16,35
2,8483,8602,31,34,28,20,33,16
1,8659,10194,25,32,23,23,23,24
0,10260,8528,42,20,40,16,31,19
2,8658,8455,18,23,19,34,16,34
1,8472,9825,21,20,27,38,20,38
2,10260,8650,42,20,40,23,24,25
2,10194,8654,23,23,24,19,32,16
0,8668,10261,21,22,22,30,29,25
2,8528,8456,16,31,19,28,16,35
1,8586,8602,28,26,30,20,33,16
2,8655,9879,23,30,22,17,24,16
0,8659,8658,25,32,23,18,23,19
2,10252,8559,22,31,23,32,25,29
0,8455,8483,34,16,34,31,34,28
2,8559,10260,32,25,29,42,20,40
0,8650,8472,23,24,25,21,20,27
1,8654,8586,19,32,16,28,26,30
0,8602,10252,20,33,16,22,31,23
2,9879,8668,17,24,16,21,22,22
1,8483,8655,31,34,28,23,30,22
1,9825,8659,38,20,38,25,32,23
2,10261,10194,30,29,25,23,23,24
2,8658,8528,18,23,19,16,31,19
2,8456,8455,28,16,35,34,16,34
1,8655,9825,23,30,22,38,20,38
0,10260,8654,42,20,40,19,32,16
1,10252,8668,22,31,23,21,22,22
2,8602,10261,20,33,16,30,29,25
2,8472,8456,21,20,27,28,16,35
2,8483,9879,31,34,28,17,24,16
2,8559,8658,32,25,29,18,23,19
2,8650,8659,23,24,25,25,32,23
1,8455,10194,34,16,34,23,23,24
1,8586,8528,28,26,30,16,31,19
2,9879,10260,17,24,16,42,20,40
2,8456,8650,28,16,35,23,24,25
0,8659,8472,25,32,23,21,20,27
2,10194,8586,23,23,24,28,26,30
2,10261,10252,30,29,25,22,31,23
0,8668,8602,21,22,22,20,33,16
1,8658,8655,18,23,19,23,30,22
2,8654,8559,19,32,16,32,25,29
0,9825,8483,38,20,38,31,34,28
2,8528,8455,16,31,19,34,16,34
0,8528,8483,16,31,19,31,34,28
1,8650,9825,23,24,25,38,20,38
0,10252,8654,22,31,23,19,32,16
2,8655,8668,23,30,22,21,22,22
1,10260,10261,42,20,40,30,29,25
2,8586,8456,28,26,30,28,16,35
2,8559,9879,32,25,29,17,24,16
2,8472,8658,21,20,27,18,23,19
0,8455,8659,34,16,34,25,32,23
2,8602,10194,20,33,16,23,23,24
2,8668,10260,21,22,22,42,20,40
2,8658,8650,18,23,19,23,24,25
2,8528,8472,16,31,19,21,20,27
1,8659,8586,25,32,23,28,26,30
1,10194,10252,23,23,24,22,31,23
1,9879,8602,17,24,16,20,33,16
0,8456,8655,28,16,35,23,30,22
2,9825,8559,38,20,38,32,25,29
1,10261,8483,30,29,25,31,34,28
2,8654,8455,19,32,16,34,16,34
2,10260,9825,42,20,40,38,20,38
2,10261,8650,30,29,25,23,24,25
0,9879,8472,17,24,16,21,20,27
2,8654,8456,19,32,16,28,16,35
2,8559,8655,32,25,29,23,30,22
1,8602,8658,20,33,16,18,23,19
2,10252,8659,22,31,23,25,32,23
1,10194,8483,23,23,24,31,34,28
1,8668,8528,21,22,22,16,31,19
2,8586,8455,28,26,30,34,16,34
2,8455,10260,34,16,34,42,20,40
1,8483,8586,31,34,28,28,26,30
1,8655,8654,23,30,22,19,32,16
1,8528,10252,16,31,19,22,31,23
2,8456,8668,28,16,35,21,22,22
2,8658,10261,18,23,19,30,29,25
2,8659,8602,25,32,23,20,33,16
0,8650,9879,23,24,25,17,24,16
0,8472,8559,21,20,27,32,25,29
2,9825,10194,38,20,38,23,23,24
0,10252,9825,22,31,23,38,20,38
0,8586,8650,28,26,30,23,24,25
0,8602,8472,20,33,16,21,20,27
2,10194,8456,23,23,24,28,16,35
1,10260,8655,42,20,40,23,30,22
0,9879,8658,17,24,16,18,23,19
2,8668,8659,21,22,22,25,32,23
2,8559,8483,32,25,29,31,34,28
2,8654,8528,19,32,16,16,31,19
1,10261,8455,30,29,25,34,16,34
2,8483,10260,31,34,28,42,20,40
2,8658,8586,18,23,19,28,26,30
0,8472,8654,21,20,27,19,32,16
2,8650,10252,23,24,25,22,31,23
2,8455,8668,34,16,34,21,22,22
1,8659,10261,25,32,23,30,29,25
0,8655,8602,23,30,22,20,33,16
1,9825,9879,38,20,38,17,24,16
0,8456,8559,28,16,35,32,25,29
0,8528,10194,16,31,19,23,23,24
